,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
symboling,1.0,0.5310635498913118,-0.13839439075815704,0.19323031857149361,-0.0690501768505626,0.634824006764119,-0.6000687229886197,-0.061339087868346846,0.21209465873497735,-0.5415978917992883,-0.37077265864834025,-0.2502622089335414,-0.5516910960088224,-0.23841891640346896,0.09199430601175802,0.19954553048197407,-0.11242905176979452,0.08467764535495358,-0.1547215279368499,-0.0057258989393144,-0.18001203790984208,0.07355258499229676,0.2746008791113672,-0.028289291858931656,0.04202535003299091,-0.0902424492663875
normalized-losses,0.5310635498913118,1.0,-0.2924539798607142,0.11502780100636013,-0.017712599609514604,0.4105646752411624,-0.3193226711404056,0.35038793403327084,,-0.0829882981028144,0.016347883899471904,0.09606730427751725,-0.4342687125938789,0.1132322616336717,-0.06656304515464853,0.2006242773993671,0.16333445563049837,0.2486349158379708,-0.04396439148367873,0.06686484981686924,-0.1316513317983425,0.29223184994630375,0.26135624074775154,-0.25155003964010103,-0.20483244004090065,0.19182947743676246
make,-0.13839439075815704,-0.2924539798607142,1.0,-0.10649291475487256,0.08467203984891516,-0.18355334626571015,0.09319525831351119,-0.026241715943699853,0.05220892816164793,0.0846731287074678,0.11769324473341305,0.0047572736318678335,0.23423785897374744,0.02372046105485317,-0.04498374572745833,-0.05088278459486809,-0.08199843965484435,0.14975806652749304,0.24655918537639657,-0.206035921330536,0.13076791106437471,-0.06242004570138962,-0.20807904526983034,0.05868322728469429,0.05298719235564391,-0.15416055815403157
fuel-type,0.19323031857149361,0.11502780100636013,-0.10649291475487256,1.0,-0.40008121683600706,0.12548804210020828,-0.14681084512461162,-0.12859634273300255,0.04070177910686425,-0.30219149819605784,-0.20844860002623156,-0.24069986808039306,-0.279984583032466,-0.21884992156208005,0.12385911168480297,0.12031404891842613,-0.07017886845744,0.044157189352857534,-0.051300012689814614,-0.24173560244008632,-0.9851679039187696,0.16946241642802992,0.4764611961911718,-0.2665766497675342,-0.19966649284983856,-0.10796437677843143
aspiration,-0.0690501768505626,-0.017712599609514604,0.08467203984891516,-0.40008121683600706,1.0,-0.03679631808753827,0.0758933879994081,0.10574793381136764,-0.058142403277909184,0.26993672426574206,0.23913197493982347,0.3157662394955865,0.0966470310369051,0.3278670518166755,-0.13042349640271902,-0.13011118105851638,0.1123516564453981,0.28767308822895393,0.241639573319191,0.21263965623091038,0.3023284922587836,0.25163869137914446,-0.18171667232225647,-0.19678043593098504,-0.24749092889352792,0.18936556274451385
num-of-doors,0.634824006764119,0.4105646752411624,-0.18355334626571015,0.12548804210020828,-0.03679631808753827,1.0,-0.6423756458794794,0.08194483642760057,0.13178866410789292,-0.4456800375114641,-0.40199152008725353,-0.23600491490472786,-0.5280504317911064,-0.22067465871135702,0.10100381370897593,0.17130315819884825,-0.04011607629135452,0.009267025746169324,-0.138859229621098,0.02536181303992821,-0.11294589562701395,0.07637024008558618,0.21655903875013888,0.0592926020706967,0.07722991509055051,-0.06252717554061964
body-style,-0.6000687229886197,-0.3193226711404056,0.09319525831351119,-0.14681084512461162,0.0758933879994081,-0.6423756458794794,1.0,-0.15768488008532247,-0.27847466409832666,0.40775646354415546,0.34879595715857603,0.1576444411267141,0.5716758715407074,0.14749603775646486,-0.08051593179626228,-0.0640820454529458,-0.06289410368191461,-0.05277878742929053,0.0247016452514963,-0.014253074693469954,0.13418138383841408,-0.13690244929001247,-0.10513762761232123,0.01206304459223318,-0.02311621123248134,-0.07004154238678882
drive-wheels,-0.061339087868346846,0.35038793403327084,-0.026241715943699853,-0.12859634273300255,0.10574793381136764,0.08194483642760057,-0.15768488008532247,1.0,0.1480849527099535,0.4727766962684777,0.49877247675470965,0.48577300058625583,-0.02073018768826618,0.5929623662663868,-0.06765761706908564,0.22929602512224476,0.526009078997517,0.4387199083715641,0.484321134590565,0.07762260759389897,0.11868587748333198,0.5466630306301271,-0.03204355771640283,-0.47222570781290224,-0.47536293727067314,0.5912493336702332
engine-location,0.21209465873497735,,0.05220892816164793,0.04070177910686425,-0.058142403277909184,0.13178866410789292,-0.27847466409832666,0.1480849527099535,1.0,-0.18879551851775328,-0.053620964906157226,-0.05280976521671683,-0.10951725583797939,0.05056708233015267,0.1257334122180092,0.13609888096386363,0.19909467749536386,0.10600601096219725,0.18608540204757715,-0.13911639261277,-0.020363912963089082,0.34191540325287867,0.20140545907704202,-0.15617909439605426,-0.10227355387889142,0.3291775124273229
wheel-base,-0.5415978917992883,-0.0829882981028144,0.0846731287074678,-0.30219149819605784,0.26993672426574206,-0.4456800375114641,0.40775646354415546,0.4727766962684777,-0.18879551851775328,1.0,0.8766889762991686,0.8165856387257121,0.5917511849169502,0.7828933807242573,-0.14369273481134998,-0.19055741894501038,0.5706539574388158,0.3851070522999281,0.5019118956440127,0.154512922913397,0.2471275774189726,0.3712938884397622,-0.35278768957580187,-0.47424596231976984,-0.5455039838124951,0.5883819436305828
